time_ms	kiln
18793475.0	213.78
18798476.0	213.9731
18803477.0	213.9968
18808478.0	213.7768
18813479.0	214
18818480.0	213.9704
18823481.0	214
18828482.0	213.7801
18833483.0	214
18838484.0	214
18843485.0	214
18848489.0	214
18853490.0	214
18858491.0	214
18863492.0	214
18868493.0	214
18873494.0	214
18878495.0	214.2468
18883496.0	214.25
18888497.0	214.2496
18893498.0	214.25
18898499.0	214.25
18903500.0	213.5901
18908501.0	214.47
18913502.0	214.5
18918503.0	214.5
18923504.0	214.5
18928505.0	214.5
18933506.0	214.7204
18938507.0	214.7236
18943508.0	214.75
18948509.0	214.75
18953510.0	214.75
18958511.0	214.75
18963512.0	214.9704
18968513.0	215
18973514.0	215
18978515.0	215
18983516.0	215.0269
18988517.0	215.25
18993518.0	215.2532
18998519.0	215.25
19003520.0	215.5
19008521.0	215.2801
19013522.0	215.5
19018523.0	215.5264
19023524.0	215.7469
19028525.0	215.75
19033526.0	215.75
19038527.0	215.9964
19043528.0	215.9968
19048529.0	216
19053530.0	216.0268
19058531.0	216.25
19063532.0	216.25
19068533.0	216.4699
19073534.0	216.5
19078535.0	216.5
19083536.0	216.5004
19088537.0	216.7464
19093538.0	216.75
19098539.0	216.9699
19103540.0	217
19108541.0	217
19113542.0	216.5605
19118543.0	217.2235
19123544.0	217.25
19128545.0	217.4703
19133546.0	217.4968
19138547.0	217.5
19143548.0	217.5036
19148549.0	217.75
19153550.0	217.75
19158551.0	217.9967
19163552.0	218
19168553.0	218
19173554.0	218.25
19178555.0	218.2468
19183556.0	218.2761
19188557.0	218.5
19193558.0	218.5
19198559.0	218.53
19203560.0	218.75
19208561.0	218.7532
19213562.0	218.9968
19218563.0	219
19223564.0	219.2468
19228565.0	219.25
19233566.0	219.0301
19238567.0	219.4999
19243568.0	219.5
19248569.0	219.7464
19253570.0	219.75
19258571.0	219.75
19263572.0	219.9999
19268573.0	219.9736
19273574.0	220.2434
19278575.0	220.2235
19283576.0	220.2532
19288577.0	220.25
19293578.0	220.5
19298579.0	220.5
19303580.0	220.6971
19308581.0	220.75
19313582.0	220.9203
19318583.0	221
19323584.0	221
19328585.0	221.25
19333586.0	221.25
19338587.0	221.4999
19343588.0	221.5
19348592.0	221.5
19353593.0	221.75
19358594.0	221.75
19363595.0	222
19368596.0	222
19373597.0	222.2236
19378598.0	222.25
19383599.0	222.25
19388600.0	222.4709
19393601.0	222.4936
19398602.0	222.7496
19403603.0	222.7204
19408604.0	222.75
19413605.0	222.9703
19418606.0	223
19423607.0	223.0004
19428608.0	223.2499
19433609.0	223.25
19438610.0	223.5
19443611.0	223.5
19448612.0	223.7464
19453613.0	223.75
19458614.0	223.7796
19463615.0	224
19468616.0	224
19473617.0	224.2464
19478618.0	224.25
19483619.0	224.4732
19488620.0	224.5
19493621.0	224.5265
19498622.0	224.75
19503623.0	224.75
19508624.0	225
19513625.0	225
19518626.0	225.0301
19523627.0	225.25
19528628.0	225.1442
19533629.0	225.5
19538630.0	225.5
19543631.0	225.75
19548632.0	225.75
19553633.0	225.75
19558634.0	226
19563635.0	226
19568636.0	226.03
19573637.0	226.25
19578638.0	226.5
19583639.0	226.5
19588640.0	226.5
19593641.0	226.75
19598642.0	226.9699
19603643.0	226.7764
19608644.0	227
19613645.0	227
19618646.0	227.25
19623647.0	227.4732
19628648.0	227.4735
19633649.0	227.5264
19638650.0	227.5268
19643651.0	227.75
19648652.0	227.75
19653653.0	228
19658654.0	228
19663655.0	228.25
19668656.0	228.2501
19673657.0	228.0569
19678658.0	228.5
19683659.0	228.7205
19688660.0	228.75
19693661.0	228.75
19698662.0	229
19703663.0	229
19708664.0	229.2499
19713665.0	229.25
19718666.0	229.25
19723667.0	229.4968
19728668.0	229.5
19733669.0	229.5297
19738670.0	229.7468
19743671.0	229.75
19748672.0	229.9996
19753673.0	230
19758674.0	230.0297
19763675.0	230.25
19768676.0	230.25
19773677.0	230.4736
19778678.0	230.5
19783679.0	230.5032
19788680.0	230.75
19793681.0	230.97
19798682.0	231
19803683.0	231.0032
19808684.0	231
19813685.0	231.25
19818686.0	231.4731
19823687.0	231.5
19828688.0	231.5
19833689.0	231.7496
19838690.0	231.75
19843691.0	231.9996
19848695.0	232
19853696.0	232
19858697.0	232.25
19863698.0	232.25
19868699.0	232.25
19873700.0	232.2536
19878701.0	232.5
19883702.0	232.5
19888703.0	232.7499
19893704.0	232.75
19898705.0	232.9996
19903706.0	233
19908707.0	233
19913708.0	233.25
19918709.0	233.25
19923710.0	233.4735
19928711.0	233.5
19933712.0	233.5264
19938713.0	233.75
19943714.0	233.9964
19948715.0	234
19953716.0	234
19958717.0	234.2203
19963718.0	234.224
19968719.0	234.25
19973720.0	234.2769
19978721.0	234.5
19983722.0	234.5036
19988723.0	234.75
19993724.0	234.7796
19998725.0	234.9996
20003726.0	235
20008727.0	235.0264
20013728.0	235.25
20018729.0	235.25
20023730.0	235.5
20028731.0	235.5
20033732.0	235.7199
20038733.0	235.75
20043734.0	235.75
20048735.0	235.9736
20053736.0	236
20058737.0	236
20063738.0	236
20068739.0	236.2764
20073740.0	236.2504
20078741.0	236.4732
20083742.0	236.5
20088743.0	236.7496
20093744.0	236.75
20098745.0	236.9699
20103746.0	236.9999
20108747.0	236.78
20113748.0	237
20118749.0	237.25
20123750.0	237.25
20128751.0	237.2503
20133752.0	237.4704
20138753.0	237.7199
20143754.0	237.5264
20148755.0	237.75
20153756.0	237.9731
20158757.0	238
20163758.0	238
20168759.0	238.0296
20173760.0	238.25
20178761.0	238.25
20183762.0	238.4736
20188763.0	238.4736
20193764.0	238.5
20198765.0	238.5036
20203766.0	238.75
20208767.0	238.7504
20213768.0	239
20218769.0	239
20223770.0	239
20228771.0	239.25
20233772.0	239.25
20238773.0	239.4703
20243774.0	239.4736
20248775.0	239.5
20253776.0	239.7236
20258777.0	239.75
20263778.0	239.75
20268779.0	239.9731
20273780.0	240
20278781.0	240
20283782.0	240.2468
20288783.0	240.25
20293784.0	240.2531
20298785.0	240.4968
20303786.0	240.5
20308787.0	240.7499
20313788.0	240.7499
20318789.0	240.9699
20323790.0	240.7764
20328791.0	241
20333792.0	241
20338793.0	241.2496
20343794.0	241.25
20348798.0	241.25
20353799.0	241.5
20358800.0	241.5
20363801.0	241.5
20368802.0	241.7496
20373803.0	241.75
20378804.0	241.75
20383805.0	241.9735
20388806.0	241.7769
20393807.0	242
20398808.0	241.9999
20403809.0	242.2496
20408810.0	242.25
20413811.0	242.4699
20418812.0	242.28
20423813.0	242.5
20428814.0	242.75
20433815.0	242.75
20438816.0	242.75
20443817.0	242.78
20448818.0	243
20453819.0	243.0264
20458820.0	243.25
20463821.0	243.25
20468822.0	243.4699
20473823.0	243.5
20478824.0	243.5
20483825.0	243.5
20488826.0	243.75
20493827.0	243.75
20498828.0	243.75
20503829.0	243.9736
20508830.0	244
20513831.0	243.974
20518832.0	244.25
20523833.0	244.25
20528834.0	244.5
20533835.0	244.5
20538836.0	244.5
20543837.0	244.7209
20548838.0	244.75
20553839.0	244.75
20558840.0	244.9705
20563841.0	245
20568842.0	245
20573843.0	245.2465
20578844.0	245.2236
20583845.0	245.25
20588846.0	245.2761
20593847.0	245.4964
20598848.0	245.5
20603849.0	245.7496
20608850.0	245.75
20613851.0	245.75
20618852.0	245.7765
20623853.0	246
20628854.0	246
20633855.0	246.0269
20638856.0	246.0295
20643857.0	246.25
20648858.0	246.25
20653859.0	246.5
20658860.0	246.5
20663861.0	246.5
20668862.0	246.5036
20673863.0	246.75
20678864.0	246.75
20683865.0	246.7797
20688866.0	247
20693867.0	247.0264
20698868.0	247.0296
20703869.0	247.25
20708870.0	247.4704
20713871.0	247.4996
20718872.0	247.5
20723873.0	247.5
20728874.0	247.7231
20733875.0	247.75
20738876.0	247.75
20743877.0	247.9996
20748878.0	247.9968
20753879.0	248
20758880.0	248
20763881.0	248.25
20768882.0	248.25
20773883.0	248.25
20778884.0	248.5
20783886.0	248.5
20788887.0	248.5
20793888.0	248.5004
20798889.0	248.75
20803890.0	248.75
20808891.0	249
20813892.0	249
20818893.0	249
20823894.0	249
20828895.0	249.0264
20833896.0	249.25
20838897.0	249.2235
20843898.0	249.2769
20848902.0	249.4968
20853903.0	249.5
20858904.0	249.5
20863905.0	249.7231
20868906.0	249.75
20873907.0	249.75
20878908.0	249.7536
20883909.0	249.9999
20888910.0	250
20893911.0	250.026
20898912.0	250.25
20903913.0	250.25
20908914.0	250.4964
20913915.0	250.5
20918916.0	250.5
20923917.0	250.7469
20928918.0	250.75
20933919.0	250.75
20938920.0	250.75
20943921.0	251
20948922.0	250.7801
20953923.0	251
20958924.0	251.0032
20963925.0	251.2496
20968926.0	251.25
20973927.0	251.0301
20978928.0	251.5
20983929.0	251.4996
20988930.0	251.5
20993931.0	251.5
20998932.0	251.7496
21003933.0	251.75
21008934.0	251.75
21013935.0	251.7795
21018936.0	252
21023937.0	252
21028938.0	252
21033939.0	252.2496
21038940.0	252.25
21043941.0	252.2797
21048942.0	252.5
21053943.0	252.5
21058944.0	252.5
21063945.0	252.7464
21068946.0	252.75
21073947.0	252.75
21078948.0	252.75
21083949.0	252.9735
21088950.0	253
21093951.0	253
21098952.0	253
21103953.0	253.0036
21108954.0	253.2496
21113955.0	253.25
21118956.0	253.4699
21123957.0	253.5
21128958.0	253.5
21133959.0	253.7464
21138960.0	253.75
21143961.0	253.75
21148962.0	253.7501
21153963.0	253.75
21158964.0	253.7535
21163965.0	254
21168966.0	254.0264
21173967.0	254
21178968.0	254.0296
21183969.0	254.03
21188970.0	254.4699
21193971.0	254.28
21198972.0	254.5
21203973.0	254.75
21208974.0	254.7496
21213975.0	254.75
21218976.0	254.75
21223977.0	254.75
21228978.0	254.7796
21233979.0	255
21238980.0	255
21243981.0	255.2199
21248982.0	255.2236
21253983.0	255.25
21258984.0	255.25
21263985.0	255.4736
21268986.0	255.5
21273987.0	255.5
21278988.0	255.5
21283989.0	255.53
21288990.0	255.7235
21293991.0	255.75
21298992.0	255.75
21303993.0	255.7531
21308994.0	255.7764
21313995.0	256
21318996.0	256
21323997.0	256.2464
21328998.0	256.2468
21333999.0	256.25
21339000.0	256.25
21344001.0	256.2768
21349005.0	256.5
21354006.0	256.5
21359007.0	256.7205
21364008.0	256.5
21369009.0	256.75
21374010.0	256.75
21379011.0	256.75
21384012.0	256.7535
21389013.0	256.7801
21394014.0	257
21399015.0	257
21404016.0	257.2468
21409017.0	257.0268
21414018.0	257.25
21419019.0	257.25
21424020.0	257.25
21429021.0	257.2796
21434022.0	257.4996
21439023.0	257.5
21444024.0	257.5268
21449025.0	257.7499
21454026.0	257.75
21459027.0	257.75
21464028.0	257.7764
21469029.0	257.9996
21474030.0	257.9968
21479031.0	258
21484032.0	258.0032
21489033.0	258.2496
21494034.0	258.25
21499035.0	258.25
21504036.0	258.25
21509037.0	258.03
21514038.0	258.5
21519039.0	258.5
21524040.0	258.5
21529041.0	258.5
21534042.0	258.5
21539043.0	258.75
21544044.0	258.75
21549045.0	258.75
21554046.0	258.7765
21559047.0	259
21564048.0	259
21569049.0	258.9968
21574050.0	259.0032
21579051.0	259.2499
21584052.0	259.25
21589053.0	259.25
21594054.0	259.4699
21599055.0	259.447
21604056.0	259.5
21609057.0	259.5
21614058.0	259.7199
21619059.0	259.75
21624060.0	259.75
21629061.0	259.75
21634062.0	259.97
21639063.0	260
21644064.0	260
21649065.0	260
21654066.0	260
21659067.0	260.2499
21664068.0	260.25
21669069.0	260.25
21674070.0	260.25
21679071.0	260.25
21684072.0	260.5
21689073.0	260.5
21694074.0	260.5
21699075.0	260.5
21704076.0	260.7527
21709077.0	260.75
21714079.0	260.75
21719080.0	260.9705
21724081.0	260.7765
21729082.0	261
21734083.0	260.7791
21739084.0	261
21744085.0	261
21749086.0	261.0264
21754087.0	261.25
21759088.0	261.25
21764089.0	261.47
21769090.0	261.4736
21774091.0	261.5
21779092.0	261.5
21784093.0	261.72
